id,input_original,input_rewritten,ground_truth
4,عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,التاسع
12,. يقع الخط الالوي السفلي على,أين يقع الخط الألوي السفلي؟,السطح الخارجي للحرقفة
16,الحافة من الفرع التي تشكل زاوية الفك السفلي:,ما هي الحافة من فرع الفك السفلي التي تشكل زاوية الفك السفلي؟,الخلفية
19,تشاهد الجسور بين الخلوية في:,أين تُشاهد الجسور بين الخلوية؟,الطبقة الشائكة من النسيج الظهاري المطبق
21,تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة,بماذا تتحول الثلمتان الاسكيتان إلى ثقبتين؟,الرباط العجزي الشوكي العجزي الحدبي
28,يفرز هرمون ال PTH :,من أين يُفرز هرمون PTH؟,الغدد جارات الدرق
35,يقع بين جسم الفقرة والقوس الفقرية :,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الثقبة الفقرية
43,تتحدد الثلمة البكرية بين,ما الهياكل التشريحية التي تتحدد بينها الثلمة البكرية؟,الناتئ الزجي + الناتئ المنقاري
44,يحفز PTH تحويل ViTD إلى كالسيفيرول في :,أين يحفز PTH تحويل فيتامين D إلى كالسيفيرول؟,المعي
49,تقع المنطقة الشمية في:,أين تقع المنطقة الشمية؟,سقف الأنف
50,يتصل المدورين بالأمام في الفخذ بـ:,ما الذي يتصل به المدورين بالأمام في الفخذ؟,الخط بين المدورين
51,يوجد التلم الكعبري في جسم العضد:,أين يوجد التلم الكعبري في جسم العضد؟,على الوجه الخلفي.
53,يرتكز الرباط الإبري اللامي على:,على ماذا يرتكز الرباط الإبري اللامي؟,النهاية العلوية للقرن الصغير للعظم اللامي.
54,تتشكل ضفيرة راشكوف في لب السن من :,من أي نوع من الخلايا تتشكل ضفيرة راشكوف في لب السن؟,ألياف حسية.
55,يقع المستقيم بين :,أين يقع المستقيم؟,القولون السيني والقناة الشرجية
56,حديبات مونتغومري هي غدد,ما هي حديبات مونتغومري؟,دهنية
73,العصب الحجابي فرع الضفيرة :,من أي ضفيرة عصبية يتفرع العصب الحجابي؟,الرقبية
74,يفرز الأدرينالين من :,من أين يُفرز الأدرينالين؟,لب الكظر
75,يتشكل الوريد الأجوف السفلي من إتحاد :,من أي الأوردة يتشكل الوريد الأجوف السفلي؟,الوريدين الحرقفيين المشتركين الأيمن والأيسر
78,في الشرايين الطبقة الأكثر تمايزاً وكثافة هي:,ما هي الطبقة الأكثر تمايزاً وكثافة في الشرايين؟,المتوسطة
79,مما ينتج هرمون T4؟,مما ينتج هرمون T4؟,الدرق
85,العضلة التي ترتكز بشكل أساسي على العظم الزورقي:,ما هي العضلة التي ترتكز بشكل أساسي على العظم الزورقي؟,الظنبوبي الخلفي
87,تقع المنطقة الشمية في :,أين تقع المنطقة الشمية؟,سقف الأنف
88,الوسادة من النسيج الدهني فوق الارتفاق العاني تدعى,ما اسم الوسادة من النسيج الدهني الموجودة فوق الارتفاق العاني؟,جبل العانة
98,يتوضع الكولون السيني في,أين يتوضع الكولون السيني؟,الناحية المغبنية اليسرى
103,ما القسم العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف:,ما القسم من العظم الجبهي الذي يفصل بين القسمين الحجاجيين من الخلف؟,الثلمة الغربالية
105,الفروع الانتهائية للسبات الظاهر:,ما هي الفروع الانتهائية للسبات الظاهر؟,الفكي والصدغي والسطحي
113,. عصب الفك العلوي يمر من,من أين يمر عصب الفك العلوي؟,الثقبة المدورة
