id,ground_truth,en_pred,ar_pred,en_correct,ar_correct,quadrant,input_english,input_arabic
2016,B,B,B,1,1,both_correct,"Individualized medicine is based primarily on:

A) The patient's age.

B) The patient's genetic makeup.

C) The patient's sex.

D) The appropriate medication regimen.","يعتمد الطب الفرداني بشكل أساسي على:

الاختيارات:
A. عمر المريض.
B. التكوين الجيني للمريض.
C. جنس المريض.
D. تركيب الدواء المناسب."
3175,E,E,E,1,1,both_correct,"Regarding bowel obstruction caused by a tumor, all of the following are true except:
A) The obstruction may be in the small or large intestine.
B) The most common cause of obstruction is colon cancer.
C) The obstruction may be due to ovarian cancer.
D) As a palliative measure, a colonoscopy or ileostomy may be performed.
E) A dilator can be inserted endoscopically to resolve the obstruction in cases of right colon tumors.","فيما يتعلق بانسداد الأمعاء الناجم عن حالة ورمية كل كل ممايلي صحيح ماعدا :

الاختيارات:
A. قد يكون الانسداد على مستوى الأمعاء الدقيقة أو الغليظة
B. أكثر سبب شائع للانسداد هو سرطان الكولون
C. قد يكون الاند الانسداد بسبب : سرطان المبيض
D. كاجراء تلطيفي يمكن اجراء ففر كولون أو لفائفي
E. يمكن وضع موسع عبر التنظير لحل مشكلة الانسداد في في حالات اورام الكولون الأيمن."
2061,A,A,A,1,1,both_correct,"Organic compounds
A) Containing carbon
B) Containing nitrogen
C) Containing ions
D) Containing coordination bonds","organic campounds

الاختيارات:
A. الحاوية على الكربون
B. الحاوية على نيتروجين
C. الحاوية على أيونات
D. الحاوية على روابط تساندية"
3094,B,B,B,1,1,both_correct,"The sugars that do not require sodium for absorption from the small intestine are:
A) Glucose.

B) Fructose.

C) Galactose.

D) Lactose.","السكريات التي لا تحتاج أثناء امتصاصها من الأمعاء الدقيقة لوجود الصوديوم هي:

الاختيارات:
A. الغلوكوز.
B. الفركتوز.
C. الغالاكتوز.
D. اللاكتوز."
261,B,B,B,1,1,both_correct,"The beta cells in the pancreas secrete:
A) Glucagon
B) Insulin
C) Somatostatin
D) None of the above","تفرز خلايا بيتا في البنكرياس :

الاختيارات:
A. الغلوكاغون
B. الأنسولين
C. السوماتوستاتين
D. لا شيء مما سبق"
4935,C,C,C,1,1,both_correct,"3. A middle-aged female patient presented with a long-standing goiter. The right lobe was more enlarged than the left, and clinically and occultally, she was in neurosis. What is the likely diagnosis?

A) 1. Benign thyroid nodule.

B) 2. Graves' disease.

C) 3. Multinodular goiter.

D) 4. Papillary carcinoma.

E) 5. Follicular carcinoma.","3. راجعت مريضة في منتصف العمر بسلعة درقية لفترة طويلة والفص الأيمن متضخم بشكل أكبر من الأيسر وسريريا وسري كانت في حالة سواء درقي. ما هو التشخيص المحتمل؟

الاختيارات:
A. 1. عقدة درقية سليمة.
B. 2. داء غريف.
C. 3. سلعة متعددة العقد.
D. 4. سرطان حليمي.
E. 5. سرطان جريبي."
3726,B,B,B,1,1,both_correct,"Causes of sterile pyuria include:
A) Diabetes mellitus
B) Renal tuberculosis
C) Typhoid fever
D) Urine contamination","من أسباب البيلة القيحية العقيمة :

الاختيارات:
A. الداء السكري
B. السل الكلوي
C. الحمى التيفية
D. تلوث عينة البول"
2372,B,B,B,1,1,both_correct,"Speed of longitudinal waves in a rigid, water-filled rod:
A) :
B) :
C) :
D) :","سرعة الأمواج الطولانية في قضيب صلب ووتر:

الاختيارات:
A. :
B. :
C. :
D. :"
682,B,B,B,1,1,both_correct,"Fat cells are capable of synthesizing fatty acids from glucose, a process accelerated by the influence of:
A) Glucagon
B) Insulin
C) Parathyroid hormone
D) Thyroxine
E) 3 and 4.","الخلايا الشحمية قادرة على تصنيع Fatty acids من الغلوكوز وهي عملية تتسرع بتأثير:

الاختيارات:
A. الغلوكاغون
B. الأنسولين
C. الباراثورمون
D. الثيروكسين
E. الثالث والرابع."
2575,C,C,C,1,1,both_correct,"X-rays are generated when:
A) Photons are accelerated in a perforated tube and allowed to strike a surface inside the tube.

B) Photons are accelerated at a high potential and allowed to strike a glass or metal surface.

C) Electrons are accelerated at a high potential in a vacuum tube and allowed to strike a surface inside the tube.

D) Electrons are accelerated at a high potential in a glass tube and allowed to strike a surface inside the tube.","تتولد الاشعة السينية عندما :

الاختيارات:
A. تسرع الفوتونات في أنبوب مقرع ويسمح لها بالسقوط على سطح داخل الانبوب.
B. تسرع الفوتونات بكمون مرتفع ويسمح لها بالسقوط على سطح زجاجي او معدني.
C. تسرع الالكترونات بكمون مرتفع في أنبوب الفراغ ويسمح لها بالسقوط على سطح داخل الانبوب .
D. تسرع الالكترونات بكمون مرتفع في أنبوب زجاجي ويسمح لها بالسقوط على سطح داخل الانبوب."
