id,level,specialty,umbrella_specialty,question_old,question,opa,opb,opc,opd,ope,opf,answer,group,answer_text,
4,Y1,Anatomy,Anatomy,عصب ينقل إحساس الذوق من ثلث اللسان الخلفي :,ما هو العصب الذي ينقل إحساس الذوق من ثلث اللسان الخلفي؟,السابع,التاسع,العاشر,الخامس,,,B,ABCD,التاسع,
8,Y1,Anatomy,Anatomy,قوس بيضاء عند حدود جسم الظفر مع جذره :,ما هي القوس البيضاء عند حدود جسم الظفر مع جذره؟,هليل الظفر,سرير الظفر,استارة الظفر,اللعوة,,,A,ABCD,هليل الظفر,
12,Y1,Anatomy,Anatomy,. يقع الخط الالوي السفلي على,أين يقع الخط الالوي السفلي؟,السطح الخارجي للحرقفة,الوجه الداخلي للحرقفة,الفرع العلوي للعانة,الوجه الخلفي للفخذ,,,A,ABCD,السطح الخارجي للحرقفة,
16,Y1,Anatomy,Anatomy,الحافة من الفرع التي تشكل زاوية الفك السفلي:,ما هي الحافة من الفرع التي تشكل زاوية الفك السفلي؟,الأمامية,الخلفية,العلوية,الوحشية,,,B,ABCD,الخلفية,
17,Y2,Anatomy,Anatomy,تتعصب بالعصب الشظوى السطحى,ما هي البنية التشريحية التي تتعصب بالعصب الشظوي السطحي؟,العضله الظنبوبيه الخلفية,الرأس المستقيم للمستقيمه الفخذية,العضله الخياطية,العضلة المأبضيه,العضله الشظويه الطويله,,E,ABCDE,العضله الشظويه الطويله,
19,Y2,Histology,Anatomy,تشاهد الجسور بين الخلوية في:,أين تشاهد الجسور بين الخلوية؟,الطبقة القاعدية من الانسجة الظهارية,الطبقة الشائكة من النسيج الظهاري المطبق,ظهارة المعدة,بين الخلايا العضلية السلية,,,B,ABCD,الطبقة الشائكة من النسيج الظهاري المطبق,
21,Y1,Anatomy,Anatomy,تتحول الثلمتين الاسكيتين إلى ثقبتين بواسطة,ما الذي يحول الثلمتين الاسكيتين إلى ثقبتين؟,الرباط العجزي الشوكي + الرباط الأربي,الرباط العجزي الشوكي العجزي الحدبي,الرباط الحدبي + الرباط الإربي,كل ما سبق خطأ,,,B,ABCD,الرباط العجزي الشوكي العجزي الحدبي,
28,Y1,Anatomy,Anatomy,يفرز هرمون ال PTH :,ما هو الهرمون الذي يفرز PTH؟,الغدد جارات الدرق,الغدة الدرقية,النخامي,الكظر,,,A,ABCD,الغدد جارات الدرق,
35,Y1,Anatomy,Anatomy,يقع بين جسم الفقرة والقوس الفقرية :,ما الذي يقع بين جسم الفقرة والقوس الفقرية؟,الثقبة المستعرضة,الثقبة بين الفقرية,الثقبة الفقرية,الثقبة المغذية,,,C,ABCD,الثقبة الفقرية,
49,Y1,Anatomy,Anatomy,تقع المنطقة الشمية في:,أين تقع المنطقة الشمية؟,سقف الأنف,مقدمة الأنف,الجدارا الوحشي للأنف,الجدار الانسي للأنف,,,A,ABCD,سقف الأنف,
50,Y1,Anatomy,Anatomy,يتصل المدورين بالأمام في الفخذ بـ:,ما الذي يتصل به المدورين بالأمام في الفخذ؟,الخط بين المدورين,العرف بين المدورين,الثلمة بين المدورة,لا شئ مما سبق,,,A,ABCD,الخط بين المدورين,
51,Y1,Anatomy,Anatomy,يوجد التلم الكعبري في جسم العضد:,أين يوجد التلم الكعبري في جسم العضد؟,على الوجه الخلفي.,على الوجه الانسي.,على الوجه الوحشي.,كل ماسبق خطأ.,,,A,ABCD,على الوجه الخلفي.,
54,Y2,Histology,Anatomy,تتشكل ضفيرة راشكوف في لب السن من :,ما الذي تتشكل منه ضفيرة راشكوف في لب السن؟,ألياف ودية.,ألياف نظيرة ودية,ألياف حسية.,كل من a و .b,,,C,ABCD,ألياف حسية.,
