id,input_arabic,input_english,prediction_arabic,prediction_english,ground_truth,Level,quadrant
4109,"توجد مستقبلات الحرارة في:
A) الجلد
B) المهاد
C) الوطاء
D) كل من C,A","Heat receptors are located in:
A) Skin
B) Thoracic cavity
C) Hypothalamus
D) Both A and C",D,D,D,Y2,both_correct
671,". من عضلات ال thenar
A) مقابلة الخنصر
B) مقربة الابهام
C) العضلات الخراطينية
D) العضلات بين العظمية الراحية","Thenar muscles:
A) Opposite little finger
B) Adductor thumb
C) Strochanteric muscles
D) Interosseous palmaris muscles",B,B,B,Y1,both_correct
154,"فرع الفك السفلي (الخاطئة):
A) حافته العلوية تسمى بثلمة الفك العلوي.
B) يتصل بجسم الفك السفلي .
C) له وجهان .
D) الرأد.","The mandibular branch (false):

A) Its upper border is called the maxillary notch.

B) It connects to the body of the mandible.

C) It has two surfaces.

D) The ramus.",A,A,A,Y1,both_correct
4531,"مصادر البيانات في الدراسات الكمية: ما عدا:
A) الوثائق
B) السجلات الطبية
C) الاستبانات وقوائم التحقق
D) كل ما سبق صحيح","Data sources in quantitative studies: EXCEPT:
A) Documents
B) Medical records
C) Questionnaires and checklists
D) All of the above",D,D,D,Y1,both_correct
1593,"لقحت نطفة أحادية الصيغة الصبغية بيضة تحوي على صبيغيين 21 فتكون الزيجوت الناتجة تحوي على:
A) 46
B) 45
C) 47
D) 69","A haploid sperm fertilizes an egg containing 21 chromosomes, resulting in a zygote containing:
A) 46
B) 45
C) 47
D) 69",C,C,C,Y2,both_correct
1443,"المنطقة (-20.-40) من المحضض تحوي:
A) Cat Box
B) TATA BOX
C) TEAMCG Box
D) Octamer Box","The (-20-40) zone of the climax contains:
A) Cat Box
B) TATA BOX
C) TEAMCG Box
D) Octamer Box",B,B,B,Y2,both_correct
1363,"تساهم في المحافظة على ثباتية البنية الثالثية:
A) الروابط الهيدروجينية.
B) الروابط ثنائية الكبريت.
C) التفاعلات الكارهة للماء.
D) كل ما سبق صحيح.","Contributing to the maintenance of tertiary structure stability are:

A) Hydrogen bonds.

B) Disulfide bonds.

C) Hydrophobic reactions.

D) All of the above are correct.",D,D,D,Y2,both_correct
849,"من العظام القصيرة:
A) لوح الكتف.
B) الأسناخ.
C) الرسخ.
D) عظم القص.","Examples of short bones include: A) The scapula.

B) The alveoli.

C) The tarsus.

D) The sternum.",C,C,C,Y1,both_correct
4518,"بفرض احتمال ولادة الذكر 0.5 في عائلة فيها 3 أولاد ما احتمال ان يكون كلهم ذكور:
A) 625
B) 125
C) 0,25
D) 445","Assuming a 0.5 chance of a boy being born in a family of 3 children, what is the probability that all 3 children will be boys?
A) 625
B) 125
C) 0.25
D) 445",B,B,B,Y1,both_correct
621,"كل ما يلي عن العظم الصدغي صحيح عدا :
A) عظم مفرد.
B) ينشأ الناتئ الوجني من القسم الصدفي منه.
C) يحوي القسم الخشاني تلم حفرة ذات البطنين وثلم الجيب.
D) يتواجد الناتئ الخشاني خلف الصماخ السمعى الظاهر.","All of the following about the temporal bone are true except:

A) It is a single bone.

B) The zygomatic process originates from its squamous part.

C) The squamous part contains the sulcus of the biventricular fossa and the sinus sulcus.

D) The squamous process is located behind the external auditory meatus.",A,A,A,Y1,both_correct
4261,"يتم تنظيم عمل الخصية من خلال:
A) GNRH
B) FSH
C) LH
D) كل ما سبق صحيح","Testicular function is regulated by:
A) GnRH
B) FSH
C) LH
D) All of the above",D,D,D,Y1,both_correct
4528,"في حال Ho منطقة القبول من دالة الاختبار و H1 منطقة الرفض وكانت H1: θ>θ₀ هنا تشغل منطقة الرفض:
A) الطرف الأيمن من توزيع دالة الاختبار
B) الطرف الأيسر من توزيع دالة الاختبار
C) نضع منطقة الرفض في كل طرف من طرفي توزيع دالة الاختبار
D) كل ما سبق خاطئ","If Ho is the acceptance region of the test function and H1 is the rejection region, and H1: θ>θ₀, then the rejection region occupies:
A) The right end of the test function distribution
B) The left end of the test function distribution
C) We place the rejection region at each end of the test function distribution
D) All of the above are incorrect",A,A,A,Y1,both_correct
3120,"يؤدي تنبيه مستقبلات بيتا الأدرينالينية إلى كل ما يلي ما عدا:
A) تسرع القلب.
B) تقلص معصرة المثانة.
C) توسيع القصيبات التنفسية.
D) تحلل الشحوم.","Stimulation of beta-adrenergic receptors leads to all of the following except:

A) Tachycardia (rapid heartbeat).

B) Bladder sphincter contraction.

C) Bronchodilation.

D) Lipid breakdown.",B,B,B,Y1,both_correct
542,"يمر من النفق البصري:
A) الشريان العيني
B) العصب البصري
C) العصب العيني
D) A + B","The optic tunnel is traversed by:
A) Ophthalmic artery
B) Optic nerve
C) Oculoplastic nerve
D) A + B",D,D,D,Y2,both_correct
3900,"البوابات التي تتحكم بنفوذية القنوات للشوارد التي تسهم في تشكيل كامن الفعل:
A) القنوات المبوبة بالربيطة
B) قنوات البروتين
C) قنوات شحمية
D) القنوات المبوبة بالفولطاج","The gates that control the permeability of channels to ions that contribute to the formation of the action potential are:
A) Ligament-bound channels
B) Protein channels
C) Lipid channels
D) Voltage-bound channels",D,D,D,Y2,both_correct
